customer_id,frequency,monetary,recency,customer_tenure,avg_order_value,std_order_value,max_order_value,min_order_value,cv_order_value,avg_days_between_txns,recent_spend_90d,historical_spend_rest,purchase_rate,months_with_purchase,spend_trend,clv_90d
CUST_00000,3,68.13,100,234,22.709999999999997,8.974369058602393,32.22,14.39,0.3951725697315013,67.0,0.0,68.13,0.022388059701492536,2,-5.0,181.18
CUST_00001,5,341.54,45,50,68.308,23.489764153775578,97.95,40.03,0.3438801334217892,1.25,341.54,0.0,1.0,1,5.0,0.0
CUST_00004,5,810.02,238,319,162.004,84.99538358052159,304.46,89.85,0.5246499072894595,20.25,0.0,810.02,0.06172839506172839,3,-5.0,0.0
CUST_00005,8,2597.69,284,363,324.71125,204.83829897454652,654.59,110.92,0.6308321592631808,11.285714285714286,0.0,2597.69,0.10126582278481013,3,-5.0,0.0
CUST_00006,7,2508.88,158,338,358.4114285714286,519.917574538778,1528.68,72.06,1.4506166184797384,30.0,0.0,2508.88,0.03888888888888889,5,-5.0,896.0
CUST_00007,1,13.34,353,353,13.34,0.0,13.34,13.34,0.0,365.0,0.0,13.34,1.0,1,-5.0,0.0
CUST_00008,4,153.14,90,309,38.285,4.408193129465476,44.69,34.72,0.11514152094725028,73.0,0.0,153.14,0.0182648401826484,3,-5.0,0.0
CUST_00009,3,239.39999999999998,239,349,79.8,32.134990275399176,109.96,46.0,0.40269411372680675,55.0,0.0,239.39999999999998,0.02727272727272727,3,-5.0,0.0
CUST_00010,1,2084.15,11,11,1182.4635001025667,0.0,2084.15,2084.15,0.0,365.0,2084.15,0.0,1.0,1,5.0,332.44
CUST_00011,1,31.43,60,60,31.43,0.0,31.43,31.43,0.0,365.0,31.43,0.0,1.0,1,5.0,0.0
CUST_00012,1,9.57,33,33,9.57,0.0,9.57,9.57,0.0,365.0,9.57,0.0,1.0,1,5.0,18.27
CUST_00013,4,312.48,184,330,78.12,33.458387090035686,108.09,30.36,0.4282947656174563,48.666666666666664,0.0,312.48,0.0273972602739726,4,-5.0,0.0
CUST_00015,20,8231.72,25,362,411.58599999999996,450.5646224975012,2031.06,81.56,1.0947034702285823,17.736842105263158,292.38,7939.34,0.05934718100890208,9,-3.3015278070313903,1099.08
CUST_00016,1,51.91,3,3,51.91,0.0,51.91,51.91,0.0,365.0,51.91,0.0,1.0,1,5.0,499.07
CUST_00019,12,3168.75,1,280,264.0625,219.8342875533544,692.7,62.25,0.8325085445807503,25.363636363636363,1091.33,2077.42,0.043010752688172046,7,-0.6437291683291884,1811.98
